first_index,all_indices,title_hi,title_en,youtube_url,tags
612,612,महालक्ष्मी गायत्री,Mahalakshmi Gayatri,https://youtu.be/HeqiNrjiCfk?si=EyUBWgbK16-rLLp0,"Diwali, LakshmiJi, Mantra, Wealth"
613,613,व्यापार वृद्धि मंत्र,Vyapar Vriddhi Mantra,https://youtu.be/9wUtZFEmaLM?si=mnP_uX0SYbSi1G4F,"Mantra, Wealth"
614,614,धन प्रदा मंत्र,Dhan Prada Mantra,https://youtu.be/zOtUr7eqq-Q?si=6Xk-u7lMCxPw1Bef,"Mantra, Wealth"
615,615,कनकधारा स्तोत्र,Kanakdhara Stotra,https://youtu.be/3Y1JGvieOBk?si=-Vziy6rODds0zN_H,"LakshmiJi, Strotam, Wealth"
616,"616, 758",श्री सूक्तम,Shri Suktam,https://youtu.be/OC7LQxuhQUU?si=Dk4q0uGOrbCSfm7I,"Diwali, LakshmiJi, Mantra, Navratri, Strotam, Stuti, Wealth"
617,617,महालक्ष्मी अष्टकम,Mahalakshmi Ashtakam,https://youtu.be/RDWtngDhknA?si=WCTJjON7OPrv6Hdy,"LakshmiJi, Shloka, Strotam, Wealth"
618,618,ऋण मोचन मंगल स्तोत्र,Rina Mochan Mangal Stotra,https://youtu.be/ztcH7tkeLhs?si=C0V9hG-DwmGJeZjj,"Strotam, Wealth"
619,619,गणेश संकटनाशन स्तोत्र,Ganesh Sankatnashan Stotra,https://youtu.be/aTFeZxXkL78?si=duxsc5pwTGoNRBpq,"GaneshChaturthi, GaneshJi, Health, Strotam, Success, Wealth"
620,620,अन्नपूर्णा स्तोत्र,Annapurna Stotra,https://youtu.be/UkT5eHWOIjQ?si=mbNXv4_wRxfFKtJ6,"LoveAndRelationship, Strotam, Wealth"
621,621,इन्द्राक्षी स्तोत्र,Indrakshi Stotra,https://youtu.be/cuSGy5SuVtA?si=A8nPscCPd5cXWYal,"Strotam, Wealth"
622,622,नारायण सूक्तम,Narayan Suktam,https://youtu.be/vLP6gdiDbOU?si=m7rY9Wm1sygwWuaf,"Strotam, VishnuJi, Wealth"
623,623,शुभ-लाभ स्तोत्र,Shubh-Labh Stotra,https://youtu.be/EFbGj-F1vpA?si=FXDu5q3EIA-7EOXe,"Strotam, Wealth"
624,624,लक्ष्मी चालीसा,Lakshmi Chalisa,https://youtu.be/otWnO-2pwuM?si=yXHgB1p63SthIoiC,"Chalisa, Wealth"
625,625,कुबेर चालीसा,Kuber Chalisa,https://youtu.be/auyzyuKCpL0?si=E_RDoIahVN6_-lTw,"Chalisa, Wealth"
626,626,महालक्ष्मी चालीसा,Mahalakshmi Chalisa,https://youtu.be/OruIDUg1jgE?si=pnWArCGpZsJFDKiE,"Chalisa, Wealth"
627,627,लक्ष्मी जी की आरती,Lakshmi Ji Ki Aarti,https://youtu.be/zdZ67AM47u8?si=Ff03RfC0f0Fll-oI,"Aarti, Diwali, Wealth"
628,628,कुबेर जी की आरती,Kuber Ji Ki Aarti,https://youtu.be/c0J1WntPaDg?si=MKuPTGQBJ6wKVF5s,"Aarti, Diwali, Wealth"
629,629,माँ अन्नपूर्णा आरती,Maa Annapurna Aarti,https://youtu.be/ISURgmavEAc?si=Ytk5EqWInYj2tffi,"Aarti, Wealth"
630,630,माँ वैभव लक्ष्मी आरती,Maa Vaibhav Lakshmi Aarti,https://youtu.be/y9Py0BBVHpQ?si=-NbQ4ysBoYNJS-3Y,"Aarti, Wealth"
631,631,नमो नमस्तेऽस्तु महामाये श्रीपीठे सुरपूजिते,Namo Namastestu Mahamaye Shripithe Surapujite,https://youtube.com/shorts/7BEYmt8EeX8?si=kqi58ODFW_qjBs1A,"Diwali, Mantra, Shloka, Strotam, Stuti, Success, Wealth"
632,632,धनं धान्यं पशुं बहुपुत्रलाभं शतसंवत्सरं दीर्घमायुः,Dhanam Dhanyam Pashum Bahuputralabham Shatasamvatsaram DirghamAyuh,https://youtube.com/shorts/8hbV_LQKvv0?si=k4cFAIlX83ys0rDI,"Shloka, Strotam, Success, Wealth"
633,633,यत्र योगेश्वरः कृष्णो यत्र पार्थो धनुर्धरः,Yatra Yogeshwarah Krishno Yatra Partho Dhanurdharah,https://youtube.com/shorts/zolakx_rOSQ?si=Vp--jZEZzZ9vBkXI,"Shloka, Wealth"
634,634,उद्यमेन हि सिध्यन्ति कार्याणि न मनोरथैः,Udyamen Hi Sidhyanti Karyani Na Manorathaih,https://youtu.be/WCcW1Efq3W4?si=-ql30mOBC_JbYjXP,"Shloka, Success, Wealth"
635,635,यक्षाय कुबेराय वैश्रवणाय धनधान्याधिपतये,Yakshaya Kuberaya Vaishravanaya Dhanadhanyadhipataye,https://youtu.be/IKGvPex_NQM?si=wE8sis6qTbHLMdVg,"Mantra, Shloka, Success, Wealth"
636,636,कर्मण्येवाधिकारस्ते मा फलेषु कदाचन,Karmanyevadhikaraste Ma Phaleshu Kadachana,https://youtube.com/shorts/8-qBFaUbKfs?si=3v_PngXwBsh9bHST,"Knowledge, Shloka, Wealth"
