group_id,youtube_url,count,index,title_hi,title_en,tags
222,https://youtu.be/ytV08faCJwg?si=eXY_cZGO-FsueNS1,2,439,शिव गायत्री मंत्र,Shiv Gayatri Mantra,Mantra|Happiness|Shivji
223,https://youtu.be/yx_Koe1uOdI?si=AHlai-OftkIyeKnG,2,111,विष्णु भुजंग प्रयात स्तोत्र,Vishnu Bhujang Prayat Stotra,Strotam|VishnuJi
223,https://youtu.be/yx_Koe1uOdI?si=AHlai-OftkIyeKnG,2,545,विष्णु भुजंग प्रयात स्तोत्र,Vishnu Bhujang Prayat Stotra,Strotam|VishnuJi
224,https://youtu.be/yzwVyns93nc?si=UqzAJ3pjM1DUhsI7,2,281,कृष्ण गायत्री,Krishna Gayatri,Mantra|KrishnaJi
224,https://youtu.be/yzwVyns93nc?si=UqzAJ3pjM1DUhsI7,2,936,कृष्ण गायत्री,Krishna Gayatri,Aarti|Knowledge|KrishnaJi
225,https://youtu.be/zKC17254flc?si=1RLal5iLIRaiuuMb,2,106,विष्णु सहस्रनाम स्तोत्रम्:,Vishnu Sahasranama Stotram:,Strotam|VishnuJi
225,https://youtu.be/zKC17254flc?si=1RLal5iLIRaiuuMb,2,540,विष्णु सहस्रनाम स्तोत्रम्:,Vishnu Sahasranama Stotram:,Strotam|VishnuJi
226,https://youtu.be/zUdp2fQJemw?si=jdzUfbtXHLEoG4OC,2,22,सम्पूर्ण गाथा नीलकंठ की,Sampurn Gatha Neelkanth Ki,Katha|Shivji
226,https://youtu.be/zUdp2fQJemw?si=jdzUfbtXHLEoG4OC,2,458,सम्पूर्ण गाथा नीलकंठ की,Sampurn Gatha Neelkanth Ki,Katha|Shivji
227,https://youtu.be/zdZ67AM47u8?si=Ff03RfC0f0Fll-oI,2,755,लक्ष्मी जी की आरती,Lakshmi Ji Ki Aarti,Aarti|Wealth|DurjaJi
227,https://youtu.be/zdZ67AM47u8?si=Ff03RfC0f0Fll-oI,2,919,ओम जय लक्ष्मी माता,Om Jai Lakshmi Mata,Aarti|Wealth|DurjaJi
228,https://youtu.be/zfhnJkZbtB0?si=J0cNKvR_xcs-AdL7,2,18,भोले भंडारी सबके ही भंडार भरे,Bhole Bhandari Sabke Hi Bhandar Bhare,Bhajan|Shivji
228,https://youtu.be/zfhnJkZbtB0?si=J0cNKvR_xcs-AdL7,2,454,भोले भंडारी सबके ही भंडार भरे,Bhole Bhandari Sabke Hi Bhandar Bhare,Bhajan|Shivji
229,https://youtube.com/shorts/8hbV_LQKvv0?si=k4cFAIlX83ys0rDI,2,426,श्री सूक्तम,Shri Suktam,Aarti|DurjaJi
229,https://youtube.com/shorts/8hbV_LQKvv0?si=k4cFAIlX83ys0rDI,2,760,धनं धान्यं पशुं बहुपुत्रलाभं शतसंवत्सरं दीर्घमायुः,Dhanam Dhanyam Pashum Bahuputralabham Shatasamvatsaram DirghamAyuh,Aarti|Wealth|DurjaJi
230,https://youtube.com/shorts/Asb3NCYzDnM?si=2Ip-bhoGeriuglXN,2,834,सरस्वती श्लोक,Saraswati Shlok,Aarti|Happiness|Knowledge|DurjaJi
230,https://youtube.com/shorts/Asb3NCYzDnM?si=2Ip-bhoGeriuglXN,2,904,विद्या श्लोक,Vidya Shlok,Aarti|Success|DurjaJi
231,https://youtube.com/shorts/fGShWlmiDyE?si=sHBTIs2BRo6Bf0Pj,2,833,गुरु श्लोक,Guru Shlok,Aarti|DurjaJi
231,https://youtube.com/shorts/fGShWlmiDyE?si=sHBTIs2BRo6Bf0Pj,2,907,गुरु कृपा,Guru Kripa,Aarti|DurjaJi
232,https://youtube.com/shorts/uCiRodyfM_8?si=PN-Mn7CrHYKViZK_,2,829,शांति श्लोक,Shanti Shlok,Aarti|DurjaJi
232,https://youtube.com/shorts/uCiRodyfM_8?si=PN-Mn7CrHYKViZK_,2,864,शांति श्लोक,Shanti Shlok,Aarti|Health|DurjaJi
