group_id,count,title_hi,title_en,tags_sorted,content_urls,indexes
133,2,नारायणीयम्,Narayaneeyam,KrishnaJi|Strotam,https://youtu.be/vheWrSxvQf8?si=WSd_Oh9eIu29WaY4,289|732
134,2,संतान गोपाल स्तोत्र,Santan Gopal Stotra,KrishnaJi|Strotam,https://youtu.be/gyLT2Yz_yHo?si=6boX0E4ODR2nuxV9,290|733
135,2,कृष्णा चालीसा,Krishna Chalisa,Chalisa|KrishnaJi,https://youtu.be/EJufdp0WS0Q?si=fLbrGiYjPfMbjZp1,291|734
136,2,गोपाल चालीसा,Gopal Chalisa,Chalisa|KrishnaJi,https://youtu.be/hiZB_bwV0R4?si=NwWWTjZTLwZtJvLZ,292|735
137,2,कृष्ण अष्टकम,Krishna Ashtakam,Ashtakam|KrishnaJi,https://youtu.be/PvdeDNeCiQc?si=T6FiME_l0gc5pd7S,293|736
138,2,बाल मुकुंद स्तुति,Bal Mukunda Stuti,KrishnaJi|Stuti,https://youtu.be/0l0Kf_JdzGA?si=sub1fmI9QPj7Pvfy,294|737
139,2,राधा-कृष्ण युगल स्तुति,Radha-Krishna Yugal Stuti,KrishnaJi|Stuti,https://youtu.be/7VCiJ2N-1EA?si=Twq1UgJi0jETyqeg,295|738
140,2,श्री द्वारकाधीशजी की शयन स्तुति,Shri Dwarkadhish Ji Ki Shayan Stuti,KrishnaJi|Stuti,https://youtu.be/5FU1Zb4oXc8?si=iLU2g9Q85rMkbpD_,296|739
141,2,कुन्ती स्तुति,Kunti Stuti,KrishnaJi|Stuti,https://youtu.be/Wc3Ng3y4KL0?si=Udob2a9WMS6kOpua,297|740
142,2,आरती कुंजबिहारी की,Aarti Kunjbihari Ki,Aarti|KrishnaJi,https://youtu.be/EMO1AT1UQf0?si=YEPhm4K955xBp6RB,298|741
143,2,ॐ जय श्री कृष्ण हरे,Om Jai Shri Krishna Hare,Aarti|KrishnaJi,https://youtu.be/NoX2I_mdzA8?si=83tsDkr6saVzcOu3,299|742
144,2,आरती श्री बांके बिहारी तेरी आरती गाऊं,Aarti Shri Banke Bihari Teri Aarti Gaun,Aarti|KrishnaJi,https://youtu.be/6LO2PRgbutc?si=yww6-9PsBDlf4jy1,300|743
145,2,"जय कान्हा काला, प्रभु जय कान्हा काला","Jai Kanha Kala, Prabhu Jai Kanha Kala",Aarti|KrishnaJi,https://youtu.be/t_ULrM1Ei6k?si=1ZDLM8HZvDtov936,301|744
146,2,आरती श्री बाल कृष्ण जी की,Aarti Shri Bal Krishna Ji Ki,Aarti|KrishnaJi,https://youtu.be/xlaAaxz_tpQ?si=2ky0i3tyEWSaLvi0,302|745
147,2,आरती जुगल किशोर की,Aarti Jugal Kishore Ki,Aarti|KrishnaJi,https://youtu.be/6em96KXH2uY?si=3lnyN7ceeQdMOk9s,303|746
148,2,जय जगदीश हरे,Jai Jagdish Hare,Aarti|KrishnaJi,https://youtu.be/3ucCEjXS9n8?si=xmxtRMfp2MqjYvJP,304|747
149,2,द्वारकाधीश आरती,Dwarkadhish Aarti,Aarti|KrishnaJi,https://youtu.be/Eadz0b0AK4M?si=PDjr0UDP8HdWcMPs,305|748
150,2,वसुदेवसुतं देवं,Vasudevasutam Devam,KrishnaJi|Shloka,https://youtu.be/DdnIrdIyXPk?si=J0UsLQg_mLhBHqx8,306|749
151,2,मूकं करोति वाचालं,Mukam Karoti Vachalam,KrishnaJi|Shloka,https://youtu.be/AkCYiUsdArw?si=jLgaTztsiNDDIvg5,307|750
152,2,यदा यदा ही धर्मस्य,Yada Yada Hi Dharmasya,KrishnaJi|Shloka,https://youtu.be/1AOgbhmP0ig?si=HztCRx46d8XXa16m,308|751
153,2,कर्मण्येवाधिकारस्ते,Karmanyevadhikaraste,KrishnaJi|Shloka,https://youtu.be/m0VD0vSXNXQ?si=rYvcj8atb4ReJtxk,309|752
154,2,सर्वधर्मान्परित्यज्य,Sarvadharmanparityajya,KrishnaJi|Shloka,https://youtu.be/iNgFM6NKDxQ?si=HeemCWcs6L3oteQQ,310|753
155,2,हे कृष्ण करुणा सिन्धु,He Krishna Karuna Sindhu,KrishnaJi|Shloka,https://youtu.be/k6oKjApcd8k?si=iALtB1Cbee031oOL,311|754
