youtube_video_id,unique_exact_url_count,unique_exact_urls_sample,line_numbers_sample
r66ySZ7iipM,2,https://youtu.be/r66ySZ7iipM?si=FM_yp5XcLh9cQ4q0|https://youtu.be/r66ySZ7iipM?si=NEjamA32NPb6T0qz,601|646
r7GJ8GoGSD8,2,https://youtu.be/r7GJ8GoGSD8?si=5vKJpH3tM6QoFwzl|https://youtu.be/r7GJ8GoGSD8?si=_XwHYxWLE9gLr6gI,117|1361
rPUuIMR7IJg,2,https://youtu.be/rPUuIMR7IJg?si=Ih0RY7ld8sJvMgQ6|https://youtu.be/rPUuIMR7IJg?si=plhMh38FMb-YkGTj,1385|1553
udRgk50LOuA,2,https://youtu.be/udRgk50LOuA?si=OnWHt9_jUWmMlIHv|https://youtu.be/udRgk50LOuA?si=aNXgNWFWUnR1bwfA,173|466
vLP6gdiDbOU,2,https://youtu.be/vLP6gdiDbOU?si=jO6MgHWC3vJEyRrd|https://youtu.be/vLP6gdiDbOU?si=m7rY9Wm1sygwWuaf,238|946
vlc0vWvSrOM,2,https://youtu.be/vlc0vWvSrOM?si=fvKhdLJK61GyaAFD|https://youtu.be/vlc0vWvSrOM?si=kqXnkvDI7kec51Je,1353|1404|1526
vp2Wp1mtb7o,2,https://youtube.com/shorts/vp2Wp1mtb7o?si=94qjGBD7qZDFoWA3|https://youtube.com/shorts/vp2Wp1mtb7o?si=ZDoZPcitIfChkb7U,797|912
w7HbgKcQS_w,2,https://youtu.be/w7HbgKcQS_w?si=9LtJV_tRsaENcyyg|https://youtu.be/w7HbgKcQS_w?si=KCJVUE_VkpIA8tKc,58|1160|1423
wiIJr3qihaQ,2,https://youtu.be/wiIJr3qihaQ?si=-f9FdXR6zpC7iHDa|https://youtu.be/wiIJr3qihaQ?si=5q_29OGfvhaHvRka,503|1473
yWTN6bsDWN4,2,https://youtu.be/yWTN6bsDWN4?si=Lzw6_QbV5g85uOt9|https://youtu.be/yWTN6bsDWN4?si=UqPSo0fBRLeKdbXM,574|1028
ytV08faCJwg,2,https://youtu.be/ytV08faCJwg?si=5OYB2QhpM3Jyjw28|https://youtu.be/ytV08faCJwg?si=eXY_cZGO-FsueNS1,8|1401|1402
zKC17254flc,2,https://youtu.be/zKC17254flc?si=1RLal5iLIRaiuuMb|https://youtu.be/zKC17254flc?si=yopAvgJ5ioKqpPJq,232|840
zukqadAe9N8,2,https://youtu.be/zukqadAe9N8?si=M1D-iNfUXiTaOKDm|https://youtu.be/zukqadAe9N8?si=c6fU3iNcPs4fnzy_,761|1413
