youtube_video_id,old_tags,new_tags
fsMzgFMMGxA,Chalisa|DurjaJi|Strength|Wealth,Chalisa|DurjaJi|Strength|Success
ftb-pobLDDM,Katha|Wealth,Bhajan|GaneshChaturthi
g7rBhaAT04A,Shloka|Wealth,Health|Mantra
gFr5p5AyuD0,Aarti|GaneshJi|Katha|Wealth,Aarti|Bhajan|GaneshChaturthi|GaneshJi
gZ8YH3LuJRc,Katha|Wealth,Bhajan|GaneshChaturthi
gaJR15qWTDA,Katha|Wealth,Bhajan|MahaShivratri
gujH1r4nS6M,Katha|Wealth,HanumanJayanti|Strotam
gyLT2Yz_yHo,KrishnaJi|Strotam|Stuti|Wealth,KrishnaJi|LoveAndRelationship|Strotam|Stuti
h1lT6cxwsPw,Katha|Strength|Strotam|Wealth,Dussehra|HanumanJayanti|Strength|Strotam|Stuti|Success
hGMBqByQYjc,Shloka|Wealth,Happiness|Shloka
hn6Im7ZMoG0,Katha|Wealth,Bhajan|RamNavami
hy_UKySqiNo,Bhajan|HanumanJi,Bhajan
iEAPaA9Yf1s,Katha|Mantra|Shivji|Wealth,MahaShivratri|Mantra|Shivji
iR8cieM-CFs,Katha|Wealth,Bhajan|MahaShivratri
iRVIbOMymj0,BhojanSePehle|Katha|Mantra|Peace|Shloka|Wealth,BhojanSePehle|Happiness|Mantra|Peace|Shloka
iWd6VAWduZg,HanumanJi|Katha|Mantra|Shloka|Strength|Stuti|Wealth,HanumanJayanti|HanumanJi|Happiness|LoveAndRelationship|Mantra|Shloka|Strength|Stuti
invPCYDaWUE,Katha|Ramji|Strength|Strotam|Wealth,Dussehra|Health|RamNavami|Ramji|Strength|Strotam|Success
iuBOevhL-bU,Katha|Wealth,HanumanJayanti|Stuti
j8l2aX86Ouk,Shloka|Wealth,Health|Mantra|Shloka
jB4aaP2X7S4,DurjaJi|Katha|Mantra|Peace|Strength|Wealth,DurjaJi|Dussehra|Mantra|Peace|Strength
jRjRip7JyjM,Chalisa|Wealth,Chalisa|Success
kEKE8ZotzAM,Stuti|Wealth,Bhajan|LoveAndRelationship
kEqrQNWUVR0,Peace,Mantra|Peace
kLsTGj_BrzA,Chalisa|Wealth,Bhajan|Success
kOgaTaFcgjU,Knowledge|Mantra|Shloka|Wealth,Knowledge|Mantra|Success
kR4LMcp_AFI,Katha|Wealth,Bhajan|MahaShivratri
kbMinfmC3E0,Chalisa|Stuti|Wealth,Bhajan|Happiness|Health|Success
leVoi6kkp3o,Katha|Knowledge|Peace|Shloka|Stuti|Wealth,Aarti|Bhajan|Diwali|Dussehra|Happiness|Health|Knowledge|Peace|RamNavami|Stuti|Success
ln8em1Dc5Zs,Katha|Wealth,Katha|LoveAndRelationship
log_B4nMkH0,Knowledge|Strotam|Wealth,Knowledge|Strotam|Success
m0VD0vSXNXQ,KrishnaJi|Shloka|Wealth,KrishnaJi|Shloka|Success
mAsyg8JA6Ss,Stuti|Wealth,Bhajan|LoveAndRelationship
mGhfk_LKRjg,Katha|Wealth,GaneshChaturthi|Strotam
mZjySBOJj10,Katha|Wealth,Bhajan|Dussehra
mhK03kecgr0,Chalisa|Wealth,Bhajan|Success
mj8aJ-MkKrI,Katha|Wealth,Katha|LoveAndRelationship
mmVbmowFswQ,Katha|KrishnaJi|Wealth,Janmashtami|Katha|KrishnaJi
mzC2BCNNjv8,Stuti|Wealth,Bhajan|LoveAndRelationship
n4fZknyZlsk,Bhajan|HanumanJi|Katha|Stuti|Wealth,Bhajan|HanumanJayanti|Health
nD43xuZB9xs,Strotam|Wealth,LoveAndRelationship|Strotam
nLUmRxc6140,Bhajan|GaneshJi|Katha|Wealth,Bhajan|GaneshChaturthi|GaneshJi
nViaKp1JhsE,Katha|Wealth,Bhajan|HanumanJayanti
n_DeYZEy4Y4,Katha|Mantra|Ramji|Wealth,Mantra|RamNavami|Ramji
nbfyD78Dke0,GaneshJi|Katha|Shloka|Wealth,GaneshChaturthi|GaneshJi|Mantra|Shloka
ne3Mjg1M-Uo,Katha|Wealth,Janmashtami|Mantra
ngn4Rfu1ZJU,Shloka|Wealth,Health|Shloka
ntpeQR7K0PI,Katha|Mantra|Peace|Wealth,Happiness|Mantra|Peace
nwRoHC83wx0,Katha|Knowledge|Mantra|Peace|Shloka|Wealth,Diwali|Happiness|Health|Knowledge|Mantra|Peace|Shloka|Success
qGki_RZf2a8,Katha|Wealth,Mantra|RamNavami
qaWHPvFHMTQ,Shloka|Wealth,Health|Shloka
qcaAso2kHqU,Katha|Wealth,HanumanJayanti|Stuti
r7GJ8GoGSD8,Aarti|HanumanJi|Katha|Wealth,Aarti|Dussehra
rNSfDMxWHG8,Katha|Wealth,Bhajan|MahaShivratri
rPUuIMR7IJg,Katha|Wealth,Bhajan|Dussehra|HanumanJayanti
rtuZZ6pqlW8,Shloka|Wealth,Health|Shloka
s6eY3KmckxM,Katha|Wealth,Janmashtami|Katha
s9o8JD8PU6w,Katha|Wealth,MahaShivratri|Strotam
sDhrWWWBQLI,Bhajan|HanumanJi|Katha|Wealth,Bhajan|Dussehra|HanumanJayanti
sRjLbmFjjQ0,Katha|Mantra|Ramji|Wealth,Dussehra|Mantra|Ramji
sdZpM8paUnM,Ashtakam|Katha|Peace|Strotam|Wealth,Ashtakam|Janmashtami|LoveAndRelationship|Mantra|Peace|Strotam|Stuti
snRINfVgunw,Katha|Wealth,Dussehra|Mantra|RamNavami
tH93lLehjCs,Katha|Wealth,Bhajan|RamNavami
tj6yKxSPQZQ,Katha|Wealth,Diwali|Katha
uCiRodyfM_8,Shloka|Wealth,Happiness|Health|Shloka
uPv-8-Dslos,Katha|Wealth,Bhajan|HanumanJayanti
uZeqfUN1JQ0,Peace,Mantra|Peace
ukq70I4YDP8,Katha|Wealth,Bhajan|Dussehra
vYFOV9nj-_w,Ashtakam|GaneshJi|Katha|Knowledge|Strotam|Wealth,Ashtakam|GaneshChaturthi|GaneshJi|Knowledge|Strotam
vfzibQrVPoM,Peace|Shloka|Wealth,Peace|Shloka|Success
vgu91Z4kXpk,Strotam|Wealth,Health|Strotam
vlc0vWvSrOM,Katha|Wealth,Dussehra|HanumanJayanti|MahaShivratri|Mantra
vyukL1WLoIs,Katha|Wealth,Katha|LoveAndRelationship
w33Iznz_KsI,Strotam|Wealth,LoveAndRelationship|Strotam
w7HbgKcQS_w,Bhajan|Katha|Shivji|Stuti|Wealth,Bhajan|Health|MahaShivratri|Shivji
w8piP6I3VS0,Stuti|Wealth,Bhajan|Happiness
wiIJr3qihaQ,Bhajan|GaneshJi|Katha|Wealth,Bhajan|GaneshChaturthi|GaneshJi
x59vh8Wga9A,Shloka|Wealth,LoveAndRelationship|Mantra
xFvfdjw2eno,Katha|Wealth,MahaShivratri|Strotam
xaKaZvgkKm8,Katha|Wealth,MahaShivratri|Strotam
xpH5zFWvg1s,Katha|Wealth,Bhajan|RamNavami
xvaY6-PgNyY,HanumanJi|Shloka,Shloka
y-Xv63obhKI,Katha|Mantra|Ramji|Shloka|Strength|Strotam|Wealth,Dussehra|Health|Mantra|RamNavami|Ramji|Shloka|Strength|Strotam|Success|Wealth
yWTN6bsDWN4,Bhajan|KrishnaJi|Stuti|Wealth,Bhajan|KrishnaJi|LoveAndRelationship
yfYUZ6juevk,Stuti|Wealth,Health|LoveAndRelationship|Stuti|Success
ytV08faCJwg,Katha|Mantra|Shivji|Wealth,MahaShivratri|Mantra|Shivji
yzwVyns93nc,Katha|KrishnaJi|Mantra|Wealth,Janmashtami|KrishnaJi|Mantra
zdZ67AM47u8,Aarti|Shloka|Wealth,Aarti|Diwali|Wealth
zkUxRCOUWVo,Katha|Wealth,Bhajan|MahaShivratri
zukqadAe9N8,Katha|Peace|Strotam|Wealth,MahaShivratri|Peace|Strotam|Stuti
