video_id,title_key,first_index,member_indices,old_tags_first,new_tags_first,map_tags,map_unique_titles_norm,status
IKGvPex_NQM,kuber mantra,783,"783,932",Katha|Wealth|DurjaJi,Katha|Wealth|DurjaJi,Mantra|Shloka|Success|Wealth,कुबेर मंत्र|यक्षाय कुबेराय वैश्रवणाय धनधान्याधिपतये,skipped_multi_title_map
OC7LQxuhQUU,shri suktam,793,"793,964,977",Katha|Wealth|DurjaJi|Navratri,Katha|Wealth|DurjaJi|Navratri,Diwali|LakshmiJi|Mantra|Strotam|Stuti|Wealth,श्री सूक्तम|श्री सूक्तम:,skipped_multi_title_map
UkT5eHWOIjQ,annapurna stotra,799,"799,839",Katha|Wealth|DurjaJi,Katha|Wealth|DurjaJi,LoveAndRelationship|Strotam|Wealth,अन्नपूर्णा स्तोत्र,skipped_single_title_mismatch
f_tCqLX6GNU,krishna stuti,843,"843,881",Aarti|LoveAndRelationship|DurjaJi,Aarti|LoveAndRelationship|DurjaJi,Happiness|Knowledge|LoveAndRelationship|Peace|Stuti,कृष्ण स्तुति|कृष्ण स्तुति (कस्तूरी तिलकम..)|श्री कृष्ण स्तुति,skipped_multi_title_map
1kskWmG_u5Q,durga stuti,846,"846,879",Aarti|Strength|DurjaJi,Aarti|Strength|DurjaJi,Happiness|LoveAndRelationship|Mantra|Stuti|Success,दुर्गा मंत्र|दुर्गा स्तुति,skipped_multi_title_map
OV9LXGOXjgs,mahamrityunjay,863,"863,915",Aarti|DurjaJi,Aarti|DurjaJi,Happiness|Health|MahaShivratri|Mantra|Peace|Shivji|Shloka|Strength|Strotam,महामृत्युंजय|महामृत्युंजय मंत्र|महामृत्युंजय स्तोत्र,skipped_multi_title_map
Naruxgq6oMU,ganesha mantra,865,"865,923",Aarti|Happiness|Health|DurjaJi,Aarti|Happiness|Health|DurjaJi,Diwali|GaneshChaturthi|GaneshJi|Happiness|Knowledge|Mantra|Peace|Success,गणेश बीज|गणेश मंत्र|गणेश मूल मंत्र|गणेश विद्या मंत्र|बीज मंत्र|मूल बीज मंत्र,skipped_multi_title_map
Zagf46kv7p8,hanuman mantra,869,"869,927",Aarti|Strength|DurjaJi,Aarti|Strength|DurjaJi,HanumanJayanti|Happiness|Mantra|Success,हनुमान मंत्र|हनुमान मूल मंत्र,skipped_multi_title_map
Nod_i0EKVRw,shiv stuti,874,"874,939",Aarti|Strength|DurjaJi,Aarti|Strength|DurjaJi,Happiness|Health|Stuti|Success,शिव आरोग्य स्तुति|शिव स्तुति,skipped_multi_title_map
agqwzb3YzQ0,ganesha stuti,875,"875,908,933",Aarti|Wealth|DurjaJi,Aarti|Wealth|DurjaJi,GaneshChaturthi|Happiness|Health|LoveAndRelationship|Mantra|Stuti|Success,गजानन मंत्र|गणेश स्तुति,skipped_multi_title_map
CIl1O1GwOfk,hanuman stuti,878,"878,904,935",Health|Happiness|Strength|Aarti|DurjaJi,Health|Happiness|Strength|Aarti|DurjaJi,HanumanJayanti|Happiness|Health|Mantra|Shloka|Stuti|Success,"अतुलित बल मंत्र|अतुलितबलधामं हेमशैलाभदेहं,|अतुलितबलधामं हेमशैलाभदेहं, अनुजवनकृशानुं ज्ञानिनामग्रगण्यम्। सकलगुणनिधानं वानराणामधीशं, रघुपतिप्रियभक्तं वातजातं नमामि।|हनुमान स्तुति",skipped_multi_title_map
uCiRodyfM_8,shanti shlok,882,"882,917",Aarti|DurjaJi,Aarti|DurjaJi,Happiness|Health|Shloka,शांति श्लोक,skipped_single_title_mismatch
1mCkCzBIvDo,ganesha shlok,884,"884,955",Aarti|DurjaJi,Aarti|DurjaJi,Bhajan|Diwali|GaneshChaturthi|Happiness|Mantra|Shloka|Success,गणेश श्लोक|निर्विघ्न मंत्र|वक्रतुण्ड महाकाय,skipped_multi_title_map
Yof1Vrh5TK0,durga stuti,906,"906,941",Aarti|Health|DurjaJi,Aarti|Health|DurjaJi,DurjaJi|Health|Mantra|Stuti|Success,दुर्गा स्तुति|सर्वमंगल मांगल्ये शिवे सर्वार्थ साधिके। शरण्ये त्र्यम्बके गौरी नारायणि नमोऽस्तुते॥,skipped_multi_title_map
NE3SWh9_vR4,vishnu stuti,910,"910,942",Aarti|DurjaJi,Aarti|DurjaJi,Aarti|Diwali|Dussehra|Health|Janmashtami|Stuti|Success|VishnuJi,ओम जय जगदीश हरे|विष्णु स्तुति,skipped_multi_title_map
Yuex2EnsGiY,jai ganesh deva,973,"973,998",Aarti|DurjaJi,Aarti|DurjaJi,Aarti|Bhajan|Diwali|GaneshJi|Janmashtami,जय गणेश जय गणेश देवा|जय गणेश देवा|श्री गणेश जी की आरती,skipped_multi_title_map
