youtube_url,youtube_video_id,tags,occurrence_count,line_numbers,titles
https://youtu.be/Naruxgq6oMU?si=FcMrbfkDJoW6MNjX,Naruxgq6oMU,GaneshJi|Knowledge|Mantra|Peace,3,151|754|868,गणेश बीज | गणेश विद्या मंत्र | मूल बीज मंत्र
https://youtu.be/Naruxgq6oMU?si=xqSFGrw15ZFcqKY-,Naruxgq6oMU,GaneshJi|Katha|Mantra|Peace|Shloka|Wealth,6,450|735|1058|1181|1266|1446,गणेश मंत्र | गणेश मूल मंत्र | बीज मंत्र
https://youtu.be/Njc1Hu6WPDU?si=2e_xq2AoGxLJomUg,Njc1Hu6WPDU,Peace|Stuti|Wealth,5,778|1018|1073|1148|1211,सरस्वती स्तुति
https://youtu.be/NoX2I_mdzA8?si=83tsDkr6saVzcOu3,NoX2I_mdzA8,Aarti|KrishnaJi,1,553,ॐ जय श्री कृष्ण हरे
https://youtu.be/Nod_i0EKVRw?si=dnGltyIGNaTvUMWF,Nod_i0EKVRw,Stuti|Wealth,3,1070|1139|1214,शिव आरोग्य स्तुति | शिव स्तुति
https://youtu.be/NqVQbkZNb3k?si=up8I1tLPXOTVEQFt,NqVQbkZNb3k,ShaniiDevJi|Strotam,1,346,दशरथकृत शनि स्तोत्र
https://youtu.be/O0dGIsqbMsw?si=YMDdBnbEnw14QNiR,O0dGIsqbMsw,DurjaJi|Shloka,1,648,शरणागतदीनार्तपरित्राणपरायणे। सर्वस्यार्तिहरे देवि नारायणि नमोऽस्तु ते॥
https://youtu.be/O0dGIsqbMsw?si=shotKSeK8r1k9C7N,O0dGIsqbMsw,DurjaJi|Mantra,1,600,शरणागत दीनार्त परित्राण परायणे। सर्वस्यार्तिहरे देवि नारायणि नमोऽस्तुते॥
https://youtu.be/OC7LQxuhQUU?si=Dk4q0uGOrbCSfm7I,OC7LQxuhQUU,LakshmiJi|Shloka|Strotam|Wealth,4,295|938|1262|1281,श्री सूक्तम | श्री सूक्तम:
https://youtu.be/OKRVaXU01kI?si=3YMdFbLtHjcGJ4sE,OKRVaXU01kI,DurjaJi|Mantra,1,599,सौभाग्य प्राप्ति हेतु
https://youtu.be/OKRVaXU01kI?si=JiW7DxUS6igTBq2G,OKRVaXU01kI,Shloka|Wealth,1,1119,दुर्गा आरोग्य मंत्र
https://youtu.be/OKRVaXU01kI?si=_uw6ukhpng-Bgeg6,OKRVaXU01kI,DurjaJi|Shloka,1,647,देहि सौभाग्यमारोग्यं देहि मे परमं सुखम्। रूपं देहि जयं देहि यशो देहि द्विषो जहि॥
https://youtu.be/OKRVaXU01kI?si=iCg0c1WVrhyIyDez,OKRVaXU01kI,Shloka|Wealth,1,1165,आरोग्य श्लोक
https://youtu.be/OLWnCrUl6yA?si=yTdHh02DhHtKHuLe,OLWnCrUl6yA,Katha|Wealth,1,1308,क्लेश नाशक मंत्र
https://youtu.be/OOS-Pcovi-4?si=SyvUORCDLtjdVH2F,OOS-Pcovi-4,Katha|Wealth,1,1532,बुद्धि प्रदायक मंत्र
https://youtu.be/OOS-Pcovi-4?si=vJZVLePUjRe5jde6,OOS-Pcovi-4,Knowledge|Stuti,1,897,हनुमान बुद्धि स्तुति
https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343,OV9LXGOXjgs,Katha|Mantra|Peace|Shivji|Shloka|Strength|Wealth,7,6|732|812|1056|1113|1167|1400,महामृत्युंजय | महामृत्युंजय मंत्र
https://youtu.be/OV9LXGOXjgs?si=9xpVAx95c3g2zoh6,OV9LXGOXjgs,Katha|Wealth,1,1419,महामृत्युंजय स्तोत्र
https://youtu.be/OVWlwCHMr-I?si=NYeN8K3tAw9sLKXY,OVWlwCHMr-I,Strotam|Wealth,1,1127,वैद्यनाथ स्तोत्र
https://youtu.be/OhF0O9nb5t8?si=FNJNYprwyEwqcGsC,OhF0O9nb5t8,HanumanJi|Mantra,1,87,आंजनेय मंत्र
https://youtu.be/OruIDUg1jgE?si=pnWArCGpZsJFDKiE,OruIDUg1jgE,Chalisa|Wealth,1,955,महालक्ष्मी चालीसा
https://youtu.be/OvimStyyQWI?si=SwrQDOQ7f47RApTT,OvimStyyQWI,LakshmiJi|Shloka|Strotam|Wealth,2,299|1289,महालक्ष्मी कवच
https://youtu.be/P1R6Bk0C_BM?si=inh8vmHBJW8J7oYN,P1R6Bk0C_BM,Katha|Wealth,1,1330,मेरे बांके बिहारी लाल
https://youtu.be/PHYOoKN1eRA?si=ss-wUy5JBBGT5IWO,PHYOoKN1eRA,GaneshJi|Stuti,1,183,तुलसीदास कृत श्री गणेश स्तुति
https://youtu.be/PT1CwFIoc98?si=Il-i74wqg1etBqxF,PT1CwFIoc98,Katha|Wealth,1,1383,ठुमक चलत रामचंद्र
https://youtu.be/PT1CwFIoc98?si=xAYsyfQq1WC7E0z_,PT1CwFIoc98,Bhajan|Ramji|Shloka|Wealth,2,427|1288,ठुमक चलत रामचंद्र | ठुमक चलत रामचंद्र बाजत पैंजनिया
https://youtu.be/PYhoZ9zUFNA?si=BZ6-5dOq0gfaUpBH,PYhoZ9zUFNA,Katha|LakshmiJi,1,333,दीपावली की कथा:
https://youtu.be/PZ7q-Lbz11M?si=K4-Sr6N-X3CejQJN,PZ7q-Lbz11M,Ashtakam|ShaniiDevJi,1,354,श्री शनि अष्टकम्
https://youtu.be/PeYGaeORoOY?si=Czecw7q3IkVzA55C,PeYGaeORoOY,GaneshJi|Mantra,1,455,ॐ विनायकाय नमः
https://youtu.be/PeYGaeORoOY?si=ONsUR5ezqmmko8O0,PeYGaeORoOY,GaneshJi|Mantra,1,156,ॐ विनायकाय नमः
https://youtu.be/PlIoHp6v3LI?si=5OhUwGm9BeenQ6AQ,PlIoHp6v3LI,Katha|Wealth,1,1425,शिव कैलाशों के वासी
https://youtu.be/PvdeDNeCiQc?si=GEiACiPyXCFv9oen,PvdeDNeCiQc,Ashtakam|Peace|Strotam|Wealth,2,768|1004,कृष्ण अष्टकम
https://youtu.be/PvdeDNeCiQc?si=T6FiME_l0gc5pd7S,PvdeDNeCiQc,Ashtakam|KrishnaJi,1,543,कृष्ण अष्टकम
https://youtu.be/PzjSJIswc6s?si=VeKkvGCYklpFQt0d,PzjSJIswc6s,HanumanJi|Strotam,1,103,पंचमुखी हनुमान स्तोत्र
https://youtu.be/Q4O3nI0bEWo?si=_xW_NCBXUyH3J6Em,Q4O3nI0bEWo,Peace,1,747,रा मा दा सा
https://youtu.be/QI_N_P6aZ7s?si=liGVZcINpHYs6PdJ,QI_N_P6aZ7s,LakshmiJi|Mantra,1,291,सर्वबाधा निवारण मंत्र
https://youtu.be/QUw-FAmmaGw?si=EXBCGPVYhs5y2T4D,QUw-FAmmaGw,Katha|Wealth,1,1327,गोविन्द बोलो हरि गोपाल बोलो
https://youtu.be/QgkBIoUeAa0?si=etWL2dCG7qHJW8UX,QgkBIoUeAa0,Katha|Wealth,1,1414,द्वादश ज्योतिर्लिंग स्तोत्र
https://youtu.be/QiWkw-7QdfA?si=bJLHJe2-Y4ZfMgmJ,QiWkw-7QdfA,GaneshJi|Katha,1,507,श्री गणेश जन्म कथा
https://youtu.be/QtwtvLgJFzQ?si=pEGCwBUmI0YlEnb0,QtwtvLgJFzQ,Bhajan|ShaniiDevJi,1,374,शनिदेव तेरा जग में अजब नजारा है
https://youtu.be/Qvu09XysxWw?si=2rCzQ7OWozkWCYhx,Qvu09XysxWw,Katha|Wealth,1,1451,ऋद्धि-सिद्धि मंत्र
https://youtu.be/R-QTna2MvME?si=okZ5YcA6gTSonATR,R-QTna2MvME,ShaniiDevJi|Strotam,1,347,महाकाल शनि मृत्युञ्जय स्तोत्र
https://youtu.be/R15QXx7yRUo?si=F8f5-iFv9tBh6OJx,R15QXx7yRUo,Knowledge|Stuti,1,903,बृहस्पति स्तुति
https://youtu.be/R15QXx7yRUo?si=aCpS8BKqgcMwoOqs,R15QXx7yRUo,Knowledge|Strotam,1,885,बृहस्पति स्तोत्र
https://youtu.be/R2uDzusTCHg?si=5KitqlvfCYwUfIju,R2uDzusTCHg,Mantra|Strength,1,813,सुदर्शन मंत्र
https://youtu.be/RCCYorPLJmQ?si=BSLfeZMLzDux3CZE,RCCYorPLJmQ,Katha|Wealth,1,1470,देवा श्री गणेशा
https://youtu.be/RDWtngDhknA?si=6BoczvScrpmaOros,RDWtngDhknA,LakshmiJi|Shloka,1,320,नमस्तेऽस्तु महामाये श्रीपीठे सुरपूजिते। शङ्खचक्रगदाहस्ते महालक्ष्मि नमोऽस्तु ते
https://youtu.be/RDWtngDhknA?si=WCTJjON7OPrv6Hdy,RDWtngDhknA,Strotam|Wealth,1,939,महालक्ष्मी अष्टकम
https://youtu.be/RIYVVqu2XY4?si=zZcShWvTzV_kAWCQ,RIYVVqu2XY4,Katha|Stuti|Wealth,2,1086|1326,यशोमती मैया से बोले | यशोमती मैया से बोले नंदलाला
https://youtu.be/RLNrZUy6Ydo?si=lEGDZ8CTRcLnTbWK,RLNrZUy6Ydo,Strength|Strotam,1,825,नृसिंह स्तोत्रम
https://youtu.be/RYqJ5w-GrfM?si=7iTLrOhIb63mpAAA,RYqJ5w-GrfM,Bhajan|GaneshJi,1,499,देवा श्री गणेशा
https://youtu.be/RjhWu8pb7DQ?si=S6kq1SUlsBfnVw3G,RjhWu8pb7DQ,Knowledge|Stuti,1,898,ब्रह्मा स्तुति
https://youtu.be/RlNJspksnbg?si=RCael-63gpq5zKU4,RlNJspksnbg,Stuti|Wealth,1,1012,सीता स्तुति
https://youtu.be/RlNJspksnbg?si=jjexZNZPhPFgs0np,RlNJspksnbg,Ramji|Stuti,1,410,जानकी स्तुति
https://youtu.be/RqWyAbDZkxg?si=FTezx_rtvlQGO4hP,RqWyAbDZkxg,BhojanKeBaad,1,701,कृतज्ञता
https://youtu.be/RsBjj-D9yNA?si=V-Ft5Yq0hG1iLEl7,RsBjj-D9yNA,Katha|Wealth,1,1340,कालिया नाग मर्दन
https://youtu.be/S6HFRZmZrTI?si=l6hw1fGuaYEXLM0K,S6HFRZmZrTI,Katha|Wealth,1,1426,मन मेरा मंदिर शिव मेरी पूजा
https://youtu.be/S980-z1qx3g?si=mdxNJBopqX3nNpBz,S980-z1qx3g,Katha|Wealth,1,1410,शिव ताण्डव स्तोत्र
https://youtu.be/S980-z1qx3g?si=skvwCt7XGHenuWbP,S980-z1qx3g,Shivji|Strength|Strotam,2,12|833,शिव तांडव स्तोत्र | शिव तांडव स्तोत्रम (संक्षिप्त अंश - रावण रचित) [1]
https://youtu.be/SMBeENVIFjk?si=WUZ0mVEySHXROaQ2,SMBeENVIFjk,Bhajan|KrishnaJi,1,578,मीठे रस से भरयोड़ी राधारानी लागे
https://youtu.be/SQcX9sUnkP4?si=qSFF_V0Drj9D7Iyx,SQcX9sUnkP4,Katha|ShaniiDevJi,1,377,शनिदेव के जन्म की महान कथा
https://youtu.be/SQlglZOlZVI?si=LyMXWu1-GYr77UH0,SQlglZOlZVI,Mantra|Strength,1,815,बगलामुखी बीज मंत्र
https://youtu.be/SVO3zWQVbIQ?si=g0bAIqtMwdXLbBew,SVO3zWQVbIQ,Aarti|DurjaJi,1,638,आरती शीतला माता की
https://youtu.be/SVvds0DcG9o?si=MMDOAIQtFUGfmMbP,SVvds0DcG9o,Strotam|Wealth,1,1001,पार्वती स्तोत्र
https://youtu.be/TTVAyS9wOV4?si=lwrEOKvRzRWGLKkD,TTVAyS9wOV4,Aarti|DurjaJi,1,636,जय सरस्वती माता
https://youtu.be/TXXioV0_9-o?si=wEaulnEEeYWdA4C5,TXXioV0_9-o,Shivji|Strotam,1,25,शिव महिम्न स्तोत्र:
https://youtu.be/TplRlUULXz8?si=w-ebBCmQx88smeOh,TplRlUULXz8,Bhajan|Shivji,1,59,सुबह सुबह ले शिव का नाम
https://youtu.be/Tssx17scqO4?si=WWEOC-sAGbJPwWoB,Tssx17scqO4,GaneshJi|Strotam,1,462,गणेश अथर्वशीर्ष
https://youtu.be/Tssx17scqO4?si=gBPrZ12Ss-Z8E65l,Tssx17scqO4,Katha|Wealth,1,1458,गणेश अथर्वशीर्ष
https://youtu.be/Tssx17scqO4?si=uOt96Cx7Sz5DPI5b,Tssx17scqO4,GaneshJi|Strotam,1,164,गणेश अथर्वशीर्ष:
https://youtu.be/U2Eoov4alUA?si=ac_jo8SuW3a-_23H,U2Eoov4alUA,Katha|KrishnaJi,1,586,सुदामा चरित्र
https://youtu.be/U6GsNZbJoCg?si=scgaeQU6MLSYdZNJ,U6GsNZbJoCg,Stuti|Wealth,1,1011,राधा स्तुति
https://youtu.be/U7WIOZyTEaQ?si=sdZ_Z-n3qy3JFTNU,U7WIOZyTEaQ,Mantra|VishnuJi,1,222,ॐ विष्णवे नमः
https://youtu.be/U88tnB0H1xI?si=2-HbuGny0YDj6tfC,U88tnB0H1xI,GaneshJi|Mantra,1,452,ॐ हस्ति पिशाचि लिख स्वाहा
https://youtu.be/UH-qlhvW7A4?si=Ua4KCJHZXkykQOJt,UH-qlhvW7A4,Katha|LakshmiJi,1,332,वैभव लक्ष्मी व्रत कथा
https://youtu.be/UHtAU58ELkE?si=yxeapbxaw_kJ1bNd,UHtAU58ELkE,Shloka|Wealth,1,983,क्लीं बीज मंत्र
https://youtu.be/UIvpNrP4WQs?si=TYg6D7vN9AGO-z1B,UIvpNrP4WQs,Bhajan|DurjaJi,1,652,"चलो बुलावा आया है, माता ने बुलाया है"
https://youtu.be/UJZZyryDK00?si=pS4DwK9XFn84QOnQ,UJZZyryDK00,Peace|Stuti,1,773,कर दर्शन स्तुति
https://youtu.be/UJZZyryDK00?si=rnb6ybLJ1g19xgWw,UJZZyryDK00,SubahUthteHi,1,676,करादर्शनम्
https://youtu.be/URoRSBBZFgg?si=T85HrSjmY0jyqqr3,URoRSBBZFgg,Katha|VishnuJi,1,275,दशावतार कथा:
https://youtu.be/UUAJFjov7Xo?si=PVM9wcbMaKarr7VK,UUAJFjov7Xo,Bhajan|DurjaJi,1,656,मन लेके आया माता रानी के भवन में
https://youtu.be/UbUKRuDcapk?si=-_8bpLLypMLurt3U,UbUKRuDcapk,Knowledge|Strotam,1,879,अगस्त्य रचित सरस्वती स्तोत्र
https://youtu.be/UdrEhU_jLyk?si=QZ85FFVF-TgBfXdT,UdrEhU_jLyk,Knowledge|Shloka,1,910,भगवद गीता
https://youtu.be/UkT5eHWOIjQ?si=mbNXv4_wRxfFKtJ6,UkT5eHWOIjQ,Strotam|Wealth,1,944,अन्नपूर्णा स्तोत्र
https://youtu.be/UkT5eHWOIjQ?si=wBoYN_nxertpZqQW,UkT5eHWOIjQ,Strotam|Wealth,1,1006,अन्नपूर्णा स्तोत्र
https://youtu.be/UqQgZSu8bqg?si=_5Z7nj5e6baEJvaU,UqQgZSu8bqg,Bhajan|ShaniiDevJi,1,373,शनि देव तुम्हारे चरणों में
https://youtu.be/Uv2p2kTnlH8?si=FYYRnfJoBZIy0LmR,Uv2p2kTnlH8,Mantra|VishnuJi,1,226,तन्नो विष्णुः प्रचोदयात्॥
https://youtu.be/V1-7O0EPaJk?si=0-xX1NUeG-kZ76qS,V1-7O0EPaJk,HanumanJi|Strotam,1,94,मारुती स्तोत्र
https://youtu.be/V5bvJlR38xE?si=Cmm8uCXgEtB9CWux,V5bvJlR38xE,Katha|Wealth,1,1295,नरकासुर वध
https://youtu.be/V6bdNotAvpo?si=9hIdxzdEVzGvDDFg,V6bdNotAvpo,GaneshJi|Katha,1,510,गणेश जी ने कुबेर का घमंड कैसे तोडा
https://youtu.be/VYCZdEaHLCE?si=VW3FFZDKm2dzI8oX,VYCZdEaHLCE,GaneshJi|Katha,1,212,सबसे पहले गणेश भगवान् की पूजा क्यों करते है
https://youtu.be/Vb06G2bDFkE?si=mxsOg_3XgD0DSJQi,Vb06G2bDFkE,Mantra|VishnuJi,1,219,द्वादशाक्षर मंत्र
https://youtu.be/Vowqo1DSL8g?si=0nF5g06RFXpeDbUV,Vowqo1DSL8g,Chalisa|Strength,1,847,काली चालीसा
https://youtu.be/VpkLjMDcucg?si=2-MzQkTgTAUVFDs-,VpkLjMDcucg,Strotam|Wealth,1,1132,दुर्गा आपदुद्धारक स्तोत्र
https://youtu.be/Vwyo62x9yC4?si=M6kkN6Ue85KVUV8i,Vwyo62x9yC4,Peace,1,741,असतो मा
https://youtu.be/W9GywBEmin0?si=Y8MZZLmQalTE_osa,W9GywBEmin0,Katha|LakshmiJi,1,334,माँ लक्ष्मी और राजा बलि की कथा
https://youtu.be/WCcW1Efq3W4?si=-ql30mOBC_JbYjXP,WCcW1Efq3W4,Shloka|Wealth,2,972|1247,उद्यमेन हि सिध्यन्ति कार्याणि न मनोरथैः | संकल्प श्लोक
https://youtu.be/WFBpMrcaxXA?si=XJBNsWCipgSiL04x,WFBpMrcaxXA,Bhajan|GaneshJi,1,502,सुनो गणपति बाप्पा मौर्या
https://youtu.be/Wa0K7gf7BUs?si=NHJofs11z4hjbs9d,Wa0K7gf7BUs,Aarti|DurjaJi,1,637,आरती विन्ध्येश्वरी माता की
https://youtu.be/WawKv8E20KA?si=x3wVEkjdEi04Isk0,WawKv8E20KA,Katha|Wealth,1,1448,सिद्धि विनायक मंत्र
https://youtu.be/Wc3Ng3y4KL0?si=Udob2a9WMS6kOpua,Wc3Ng3y4KL0,KrishnaJi|Stuti,1,549,कुन्ती स्तुति
https://youtu.be/WocBegF7_p0?si=LcPrq90-IixgpXKt,WocBegF7_p0,Stuti|Wealth,1,1154,कितना प्यारा है श्रृंगार
https://youtu.be/WqiKUywr55o?si=sx_88WGHIxnkZoNM,WqiKUywr55o,Katha|KrishnaJi|Mantra|Wealth,2,524|1307,कृष्ण बीज मंत्र | ॐ क्लीं कृष्णाय नमः
https://youtu.be/WyHFSjN0miU?si=C2PbbebEskn6KqLR,WyHFSjN0miU,Chalisa|GaneshJi|Strength|Wealth,3,471|856|953,गणेश चालीसा
https://youtu.be/WyHFSjN0miU?si=pCUb4V5RltoNG-DB,WyHFSjN0miU,Chalisa|GaneshJi|Katha|Wealth,3,176|1222|1460,गणेश चालीसा | श्री गणेश चालीसा
https://youtu.be/X6rKpVJoxaQ?si=4bKv512qTO2pl7fJ,X6rKpVJoxaQ,Aarti|DurjaJi,1,640,माता चामुंडा देवी जी की आरती
