youtube_video_id,tags,occurrence_count,unique_url_count,sample_url,line_numbers,titles
AB2sbXuL9kQ,Katha|KrishnaJi,1,1,https://youtu.be/AB2sbXuL9kQ?si=MElc9dj-urTPQgvo,582,कालिया नाग मर्दन
ABNYMP9z8qk,Bhajan|VishnuJi,1,1,https://youtu.be/ABNYMP9z8qk?si=EkfBRWlZWFeDBGaz,268,नमो नमो श्री नारायण जय बैकुण्ड बिहारी
AETFvQonfV8,Chalisa|Dussehra|HanumanJayanti|RamNavami|Strength|Success,6,1,https://youtu.be/AETFvQonfV8?si=YezmW2nYi76Eoi6Q,107|844|1221|1371|1504|1536,श्री हनुमान चालीसा | हनुमान चालीसा
AK-fDVxDV6A,Happiness|MahaShivratri|Mantra|NahaneKeBaad,3,1,https://youtube.com/shorts/AK-fDVxDV6A?si=hJqXBNcFgGpUmF7A,690|1060|1399,पंचाक्षरी मंत्र | शिव पंचाक्षर
APztwI6m1KI,Bhajan|DurjaJi,1,1,https://youtu.be/APztwI6m1KI?si=6ZVQo_B3b2opJ6nP,659,लली लली लाल चुनरिया
AQc1UVfxpY0,Strength,1,1,https://youtu.be/AQc1UVfxpY0?si=BYDIeeQL-JBS_CpL,839,कार्तिकेय कवच
AXDLxXIbxAs,HanumanJi|Mantra|Shloka,2,2,https://youtu.be/AXDLxXIbxAs?si=61Ag66LJRXixtINz,80|123,हनुमान गायत्री | हनुमान गायत्री मंत्र:
AafMDVg6W94,Strength,1,1,https://youtu.be/AafMDVg6W94?si=f4-0vp9yvV0pyLGk,834,नृसिंह कवच
Ab04UFqu-Qs,GaneshChaturthi|Strotam,1,1,https://youtu.be/Ab04UFqu-Qs?si=Y71l_1lC5QwtYyiq,1463,गणपति गकार स्तोत्र
AibLZNQcHq4,GaneshJi|Mantra,1,1,https://youtu.be/AibLZNQcHq4?si=LjeojdU2vyn6oW8m,456,ॐ विघ्ननाशनाय नमः
AjCLVm6gKQc,HanumanJi|Strotam,1,1,https://youtu.be/AjCLVm6gKQc?si=acKj8AiCXoLASvM8,96,श्री हनुमान तांडव स्तोत्र
AkCYiUsdArw,KrishnaJi|Shloka,1,1,https://youtu.be/AkCYiUsdArw?si=jLgaTztsiNDDIvg5,563,मूकं करोति वाचालं पंगुं लंघयते गिरिम्। यत्कृपा तमहं वन्दे परमानन्द माधवम्॥
ApZoQJ8UK_8,DurjaJi|Katha,1,1,https://youtu.be/ApZoQJ8UK_8?si=BGN6jaJOsMmfcwqb,668,रक्तबीज वध की कथा:
Asb3NCYzDnM,Happiness|Shloka|Success,2,1,https://youtube.com/shorts/Asb3NCYzDnM?si=2Ip-bhoGeriuglXN,1102|1246,विद्या श्लोक | सरस्वती श्लोक
B2Mbb_uUC8E,Knowledge|LoveAndRelationship|Mantra,2,1,https://youtu.be/B2Mbb_uUC8E?si=9o3n9FgDqedN50LH,865|992,माँ सरस्वती मंत्र | सरस्वती बीज मंत्र
B2lrRky9eE4,Chalisa|Strength,1,1,https://youtu.be/B2lrRky9eE4?si=nQgH9JmWN6iBVbGk,855,बगलामुखी चालीसा
BBV0HQI3NB4,Happiness|Health|Mantra|Strength|Strotam|Success,4,2,https://youtu.be/BBV0HQI3NB4?si=LjPC9hE-1m_fAsBa,828|1064|1135|1201,नारायण कवच | नारायण मंत्र
